job_role,skills,domain,required_skills,demand_level_india,experience_alignment
Game Developer,"unity, unreal engine, game design, 3d graphics, physics engine, blender, c++, game physics, 3d modeling, shader development, game optimization, version control",IT & Gaming,"unity, unreal engine, game design, 3d graphics, physics engine, problem solving, team collaboration, project management",High,Beginner
Unity Developer,"unity, game development, 3d modeling, physics, animation, c#, unity editor, game scripting, asset pipeline, performance profiling, physics integration, cinematic tools",IT & Gaming,"unity, game development, 3d modeling, physics, animation, problem solving, team collaboration, project management",High,Beginner
Web Developer,"html, css, javascript, react, node.js, api, git, rest api, webpack, npm, responsive design",IT,"html, css, javascript, react, node.js, problem solving, team collaboration, project management",High,Beginner
Frontend Developer,"html, css, javascript, react, redux, ui design, responsive design, sass, accessibility, browser debugging, webpack, ui component library",IT,"html, css, javascript, react, redux, problem solving, team collaboration, project management",High,Beginner
Backend Developer,"node.js, express, mongodb, api, authentication, database design, postgresql, rest api, jwt, docker, microservices, unit testing",IT,"node.js, express, mongodb, api, authentication, problem solving, team collaboration, project management",High,Beginner
Full Stack Developer,"react, node.js, mongodb, express, api, deployment, git, docker, kubernetes, graphql, aws, rest api",IT,"react, node.js, mongodb, express, api, problem solving, team collaboration, project management",High,Beginner
Data Scientist,"python, machine learning, pandas, numpy, statistics, data visualization, scikit-learn, sql, tensor flow, feature engineering",AI,"python, machine learning, pandas, numpy, statistics, problem solving, team collaboration, project management",High,Intermediate
ML Engineer,"python, tensorflow, pytorch, deep learning, nlp, model deployment, docker, kubernetes, mlflow, data pipelines",AI,"python, tensorflow, pytorch, deep learning, nlp, problem solving, team collaboration, project management",High,Intermediate
UI Designer,"figma, adobe xd, wireframing, prototyping, ui design, color theory, sketch, interaction design, design systems, typography, usability testing, responsive design",Design,"figma, adobe xd, wireframing, prototyping, ui design, problem solving, team collaboration, project management",Medium,Beginner
UX Designer,"user research, wireframing, prototyping, usability testing, figma, information architecture, persona creation, journey mapping, accessibility",Design,"user research, wireframing, prototyping, usability testing, figma, problem solving, team collaboration, project management",Medium,Beginner
Graphic Designer,"photoshop, illustrator, typography, branding, visual design, indesign, visual storytelling, layout design, color theory, vector graphics",Design,"photoshop, illustrator, typography, branding, visual design, problem solving, team collaboration, project management",Medium,Beginner
Digital Marketer,"seo, social media, content marketing, analytics, ads, google analytics, social media marketing, content strategy, ads manager, email marketing, sem, copywriting",Business,"seo, social media, content marketing, analytics, ads, problem solving, team collaboration, project management",Medium,Beginner
Business Analyst,"data analysis, excel, sql, reporting, stakeholder communication, tableau, power bi, stakeholder management, requirements gathering, process mapping, business intelligence",Business,"data analysis, excel, sql, reporting, stakeholder communication, problem solving, team collaboration, project management",Medium,Intermediate
Cloud Engineer,"aws, azure, cloud architecture, devops, docker, kubernetes, gcp, terraform, monitoring, serverless",IT,"aws, azure, cloud architecture, devops, docker, problem solving, team collaboration, project management",High,Intermediate
Cybersecurity Analyst,"network security, ethical hacking, penetration testing, cryptography, siem, firewalls, vulnerability assessment, incident response, threat modeling",IT,"network security, ethical hacking, penetration testing, cryptography, siem, problem solving, team collaboration, project management",High,Intermediate
Mobile App Developer,"flutter, react native, android, ios, api integration, firebase, mobile ui, performance, app deployment",IT,"flutter, react native, android, ios, api integration, problem solving, team collaboration, project management",High,Beginner
DevOps Engineer,"docker, kubernetes, ci cd, aws, linux, automation, ci/cd, ansible, terraform, jenkins, monitoring, scripting",IT,"docker, kubernetes, ci cd, aws, linux, problem solving, team collaboration, project management",High,Intermediate
AI Engineer,"python, machine learning, deep learning, nlp, ai models, tensorflow, pytorch, model evaluation, data pipelines, ai ethics",AI,"python, machine learning, deep learning, nlp, ai models, problem solving, team collaboration, project management",High,Intermediate
Content Writer,"writing, editing, seo, research, storytelling, content writing, copywriting, editorial planning, google docs, word, grammar",Creative,"writing, editing, seo, research, storytelling, problem solving, team collaboration, project management",Medium,Beginner
Video Editor,"premiere pro, after effects, video editing, storytelling, final cut, color grading, motion graphics, audio mixing, video compression",Creative,"premiere pro, after effects, video editing, storytelling, final cut, problem solving, team collaboration, project management",Medium,Beginner
