job_role,skills,domain,required_skills,demand_level_india,experience_alignment
AI Engineer,"artificial intelligence, machine learning, deep learning, model deployment, python",AI,"python, tensorflow, pytorch, model training, mlops, api integration, data preprocessing",High,Intermediate
Assistant AI Engineer,"artificial intelligence, machine learning, deep learning, model deployment, python",AI,"python, tensorflow, pytorch, model training, mlops, api integration, data preprocessing",High,Beginner
Junior AI Engineer,"artificial intelligence, machine learning, deep learning, model deployment, python",AI,"python, tensorflow, pytorch, model training, mlops, api integration, data preprocessing",High,Beginner
Lead AI Engineer,"artificial intelligence, machine learning, deep learning, model deployment, python",AI,"python, tensorflow, pytorch, model training, mlops, api integration, data preprocessing",High,Advanced
Senior AI Engineer,"artificial intelligence, machine learning, deep learning, model deployment, python",AI,"python, tensorflow, pytorch, model training, mlops, api integration, data preprocessing",High,Advanced
Principal AI Engineer,"artificial intelligence, machine learning, deep learning, model deployment, python",AI,"python, tensorflow, pytorch, model training, mlops, api integration, data preprocessing",High,Advanced
AR/VR Developer,"augmented reality, virtual reality, 3d interaction, unity, immersive applications",Creative,"unity, unreal engine, c sharp, 3d asset integration, interaction design, xr debugging",Medium,Intermediate
Assistant AR/VR Developer,"augmented reality, virtual reality, 3d interaction, unity, immersive applications",Creative,"unity, unreal engine, c sharp, 3d asset integration, interaction design, xr debugging",Medium,Beginner
Junior AR/VR Developer,"augmented reality, virtual reality, 3d interaction, unity, immersive applications",Creative,"unity, unreal engine, c sharp, 3d asset integration, interaction design, xr debugging",Medium,Beginner
Lead AR/VR Developer,"augmented reality, virtual reality, 3d interaction, unity, immersive applications",Creative,"unity, unreal engine, c sharp, 3d asset integration, interaction design, xr debugging",Medium,Advanced
Senior AR/VR Developer,"augmented reality, virtual reality, 3d interaction, unity, immersive applications",Creative,"unity, unreal engine, c sharp, 3d asset integration, interaction design, xr debugging",Medium,Advanced
Principal AR/VR Developer,"augmented reality, virtual reality, 3d interaction, unity, immersive applications",Creative,"unity, unreal engine, c sharp, 3d asset integration, interaction design, xr debugging",Medium,Advanced
Algorithm Engineer,"algorithms, optimization, data structures, problem solving, computational logic",Engineering,"algorithm design, data structures, complexity analysis, python, c plus plus, mathematical modeling",Medium,Intermediate
Assistant Algorithm Engineer,"algorithms, optimization, data structures, problem solving, computational logic",Engineering,"algorithm design, data structures, complexity analysis, python, c plus plus, mathematical modeling",Medium,Beginner
Junior Algorithm Engineer,"algorithms, optimization, data structures, problem solving, computational logic",Engineering,"algorithm design, data structures, complexity analysis, python, c plus plus, mathematical modeling",Medium,Beginner
Lead Algorithm Engineer,"algorithms, optimization, data structures, problem solving, computational logic",Engineering,"algorithm design, data structures, complexity analysis, python, c plus plus, mathematical modeling",Medium,Advanced
Senior Algorithm Engineer,"algorithms, optimization, data structures, problem solving, computational logic",Engineering,"algorithm design, data structures, complexity analysis, python, c plus plus, mathematical modeling",Medium,Advanced
Principal Algorithm Engineer,"algorithms, optimization, data structures, problem solving, computational logic",Engineering,"algorithm design, data structures, complexity analysis, python, c plus plus, mathematical modeling",Medium,Advanced
Android Developer,"android development, kotlin, java, mobile ui, app deployment",Web,"kotlin, android sdk, jetpack components, rest api integration, sqlite, ui testing",High,Intermediate
Assistant Android Developer,"android development, kotlin, java, mobile ui, app deployment",Web,"kotlin, android sdk, jetpack components, rest api integration, sqlite, ui testing",High,Beginner
Junior Android Developer,"android development, kotlin, java, mobile ui, app deployment",Web,"kotlin, android sdk, jetpack components, rest api integration, sqlite, ui testing",High,Beginner
Lead Android Developer,"android development, kotlin, java, mobile ui, app deployment",Web,"kotlin, android sdk, jetpack components, rest api integration, sqlite, ui testing",High,Advanced
Senior Android Developer,"android development, kotlin, java, mobile ui, app deployment",Web,"kotlin, android sdk, jetpack components, rest api integration, sqlite, ui testing",High,Advanced
Principal Android Developer,"android development, kotlin, java, mobile ui, app deployment",Web,"kotlin, android sdk, jetpack components, rest api integration, sqlite, ui testing",High,Advanced
Anesthesiologist,"anesthesia, perioperative care, pain management, patient monitoring, airway management",Healthcare,"anesthesia administration, airway management, icu support, patient monitoring, emergency response, pain control",High,Advanced
Assistant Anesthesiologist,"anesthesia, perioperative care, pain management, patient monitoring, airway management",Healthcare,"anesthesia administration, airway management, icu support, patient monitoring, emergency response, pain control",High,Beginner
Junior Anesthesiologist,"anesthesia, perioperative care, pain management, patient monitoring, airway management",Healthcare,"anesthesia administration, airway management, icu support, patient monitoring, emergency response, pain control",High,Beginner
Lead Anesthesiologist,"anesthesia, perioperative care, pain management, patient monitoring, airway management",Healthcare,"anesthesia administration, airway management, icu support, patient monitoring, emergency response, pain control",High,Advanced
Senior Anesthesiologist,"anesthesia, perioperative care, pain management, patient monitoring, airway management",Healthcare,"anesthesia administration, airway management, icu support, patient monitoring, emergency response, pain control",High,Advanced
Principal Anesthesiologist,"anesthesia, perioperative care, pain management, patient monitoring, airway management",Healthcare,"anesthesia administration, airway management, icu support, patient monitoring, emergency response, pain control",High,Advanced
Audiologist,"hearing assessment, audiometry, hearing aids, speech evaluation, patient counseling",Healthcare,"audiometry, hearing aid fitting, vestibular testing, patient counseling, diagnostic interpretation, rehabilitation planning",Medium,Intermediate
Assistant Audiologist,"hearing assessment, audiometry, hearing aids, speech evaluation, patient counseling",Healthcare,"audiometry, hearing aid fitting, vestibular testing, patient counseling, diagnostic interpretation, rehabilitation planning",Medium,Beginner
Junior Audiologist,"hearing assessment, audiometry, hearing aids, speech evaluation, patient counseling",Healthcare,"audiometry, hearing aid fitting, vestibular testing, patient counseling, diagnostic interpretation, rehabilitation planning",Medium,Beginner
Lead Audiologist,"hearing assessment, audiometry, hearing aids, speech evaluation, patient counseling",Healthcare,"audiometry, hearing aid fitting, vestibular testing, patient counseling, diagnostic interpretation, rehabilitation planning",Medium,Advanced
Senior Audiologist,"hearing assessment, audiometry, hearing aids, speech evaluation, patient counseling",Healthcare,"audiometry, hearing aid fitting, vestibular testing, patient counseling, diagnostic interpretation, rehabilitation planning",Medium,Advanced
Principal Audiologist,"hearing assessment, audiometry, hearing aids, speech evaluation, patient counseling",Healthcare,"audiometry, hearing aid fitting, vestibular testing, patient counseling, diagnostic interpretation, rehabilitation planning",Medium,Advanced
Automation Engineer,"industrial automation, plc, control systems, instrumentation, process optimization",Engineering,"plc programming, scada, instrumentation, control panel design, troubleshooting, industrial protocols",High,Intermediate
Assistant Automation Engineer,"industrial automation, plc, control systems, instrumentation, process optimization",Engineering,"plc programming, scada, instrumentation, control panel design, troubleshooting, industrial protocols",High,Beginner
Junior Automation Engineer,"industrial automation, plc, control systems, instrumentation, process optimization",Engineering,"plc programming, scada, instrumentation, control panel design, troubleshooting, industrial protocols",High,Beginner
Lead Automation Engineer,"industrial automation, plc, control systems, instrumentation, process optimization",Engineering,"plc programming, scada, instrumentation, control panel design, troubleshooting, industrial protocols",High,Advanced
Senior Automation Engineer,"industrial automation, plc, control systems, instrumentation, process optimization",Engineering,"plc programming, scada, instrumentation, control panel design, troubleshooting, industrial protocols",High,Advanced
Principal Automation Engineer,"industrial automation, plc, control systems, instrumentation, process optimization",Engineering,"plc programming, scada, instrumentation, control panel design, troubleshooting, industrial protocols",High,Advanced
Backend Developer,"backend development, apis, databases, server logic, node js",Web,"node js, express, sql or mongodb, rest api design, authentication, backend debugging",High,Intermediate
Assistant Backend Developer,"backend development, apis, databases, server logic, node js",Web,"node js, express, sql or mongodb, rest api design, authentication, backend debugging",High,Beginner
Junior Backend Developer,"backend development, apis, databases, server logic, node js",Web,"node js, express, sql or mongodb, rest api design, authentication, backend debugging",High,Beginner
Lead Backend Developer,"backend development, apis, databases, server logic, node js",Web,"node js, express, sql or mongodb, rest api design, authentication, backend debugging",High,Advanced
Senior Backend Developer,"backend development, apis, databases, server logic, node js",Web,"node js, express, sql or mongodb, rest api design, authentication, backend debugging",High,Advanced
Principal Backend Developer,"backend development, apis, databases, server logic, node js",Web,"node js, express, sql or mongodb, rest api design, authentication, backend debugging",High,Advanced
Big Data Engineer,"big data, distributed systems, data pipelines, spark, hadoop",Data,"apache spark, hadoop, kafka, etl pipelines, python, data warehousing, cluster processing",High,Intermediate
Assistant Big Data Engineer,"big data, distributed systems, data pipelines, spark, hadoop",Data,"apache spark, hadoop, kafka, etl pipelines, python, data warehousing, cluster processing",High,Beginner
Junior Big Data Engineer,"big data, distributed systems, data pipelines, spark, hadoop",Data,"apache spark, hadoop, kafka, etl pipelines, python, data warehousing, cluster processing",High,Beginner
Lead Big Data Engineer,"big data, distributed systems, data pipelines, spark, hadoop",Data,"apache spark, hadoop, kafka, etl pipelines, python, data warehousing, cluster processing",High,Advanced
Senior Big Data Engineer,"big data, distributed systems, data pipelines, spark, hadoop",Data,"apache spark, hadoop, kafka, etl pipelines, python, data warehousing, cluster processing",High,Advanced
Principal Big Data Engineer,"big data, distributed systems, data pipelines, spark, hadoop",Data,"apache spark, hadoop, kafka, etl pipelines, python, data warehousing, cluster processing",High,Advanced
Blockchain Developer,"blockchain, smart contracts, web3, decentralized applications, solidity",Security,"solidity, ethereum, smart contract development, web3 integration, blockchain testing, cryptographic concepts",Medium,Intermediate
Assistant Blockchain Developer,"blockchain, smart contracts, web3, decentralized applications, solidity",Security,"solidity, ethereum, smart contract development, web3 integration, blockchain testing, cryptographic concepts",Medium,Beginner
Junior Blockchain Developer,"blockchain, smart contracts, web3, decentralized applications, solidity",Security,"solidity, ethereum, smart contract development, web3 integration, blockchain testing, cryptographic concepts",Medium,Beginner
Lead Blockchain Developer,"blockchain, smart contracts, web3, decentralized applications, solidity",Security,"solidity, ethereum, smart contract development, web3 integration, blockchain testing, cryptographic concepts",Medium,Advanced
Senior Blockchain Developer,"blockchain, smart contracts, web3, decentralized applications, solidity",Security,"solidity, ethereum, smart contract development, web3 integration, blockchain testing, cryptographic concepts",Medium,Advanced
Principal Blockchain Developer,"blockchain, smart contracts, web3, decentralized applications, solidity",Security,"solidity, ethereum, smart contract development, web3 integration, blockchain testing, cryptographic concepts",Medium,Advanced
Business Intelligence Analyst,"business intelligence, dashboards, reporting, data analysis, decision support",Business,"power bi, sql, dashboard design, data modeling, stakeholder communication, business reporting",High,Intermediate
Assistant Business Intelligence Analyst,"business intelligence, dashboards, reporting, data analysis, decision support",Business,"power bi, sql, dashboard design, data modeling, stakeholder communication, business reporting",High,Beginner
Junior Business Intelligence Analyst,"business intelligence, dashboards, reporting, data analysis, decision support",Business,"power bi, sql, dashboard design, data modeling, stakeholder communication, business reporting",High,Beginner
Lead Business Intelligence Analyst,"business intelligence, dashboards, reporting, data analysis, decision support",Business,"power bi, sql, dashboard design, data modeling, stakeholder communication, business reporting",High,Advanced
Senior Business Intelligence Analyst,"business intelligence, dashboards, reporting, data analysis, decision support",Business,"power bi, sql, dashboard design, data modeling, stakeholder communication, business reporting",High,Advanced
Principal Business Intelligence Analyst,"business intelligence, dashboards, reporting, data analysis, decision support",Business,"power bi, sql, dashboard design, data modeling, stakeholder communication, business reporting",High,Advanced
Cardiologist,"cardiology, heart disease diagnosis, ecg interpretation, patient care, cardiac treatment",Healthcare,"ecg interpretation, echocardiography, cardiac procedures, patient diagnosis, treatment planning, emergency cardiac care",High,Advanced
