job_role,skills,domain,required_skills,demand_level_india,experience_alignment
Lead Data Analyst,"programming, project planning, data analysis, customer service",Misc,"automation, programming, data analysis, problem solving, teamwork, security",High,Intermediate
Midwife,"networking, python, management, data analysis",Hospitality,"security, project planning, automation, networking, management, communication",High,Advanced
Principal Veterinarian,"problem solving, customer service, documentation, management",Education,"communication, management, machine learning, cloud computing, project planning, analytics",High,Intermediate
Senior Gynecologist,"data analysis, documentation, management, project planning",Transport,"data analysis, problem solving, design, documentation, communication, teamwork",High,Advanced
Junior Physiotherapist,"programming, teamwork, problem solving, machine learning",Agriculture,"cloud computing, research, networking, communication, management, automation",High,Beginner
Junior Occupational Therapist,"automation, communication, management, problem solving",Creative,"design, management, data analysis, customer service, documentation, communication",Medium,Advanced
Lead Gynecologist,"programming, communication, documentation, data analysis",Government,"machine learning, analytics, automation, project planning, customer service, python",Medium,Beginner
Assistant Backend Developer,"management, data analysis, cloud computing, security",Construction,"automation, documentation, design, project planning, machine learning, security",High,Intermediate
Senior Cardiologist,"communication, customer service, python, design",Business,"data analysis, communication, management, problem solving, python, teamwork",Medium,Intermediate
Lead Pediatrician,"security, communication, data analysis, research",Creative,"programming, documentation, analytics, machine learning, automation, design",Medium,Advanced
Junior Big Data Engineer,"customer service, cloud computing, teamwork, documentation",Transport,"automation, research, security, analytics, problem solving, python",High,Advanced
Dermatologist,"project planning, security, communication, customer service",Agriculture,"cloud computing, documentation, machine learning, communication, design, problem solving",High,Advanced
Junior Oncologist,"python, documentation, data analysis, project planning",Engineering,"teamwork, python, problem solving, data analysis, cloud computing, design",High,Beginner
Senior Paramedic,"communication, teamwork, documentation, project planning",Construction,"cloud computing, data analysis, management, automation, communication, customer service",Medium,Advanced
Web Designer,"teamwork, machine learning, communication, project planning",Transport,"security, cloud computing, machine learning, python, data analysis, automation",Medium,Advanced
Assistant Data Architect,"analytics, documentation, data analysis, programming",Government,"teamwork, programming, design, project planning, problem solving, analytics",Medium,Intermediate
Automation Engineer,"research, project planning, customer service, management",Education,"research, customer service, data analysis, communication, analytics, programming",Medium,Intermediate
Lead Medical Laboratory Technician,"project planning, research, cloud computing, security",Business,"teamwork, python, research, data analysis, cloud computing, programming",High,Intermediate
Embedded Systems Engineer,"management, teamwork, machine learning, python",Education,"analytics, documentation, cloud computing, security, project planning, management",Medium,Advanced
Lead Veterinarian,"automation, documentation, security, data analysis",Transport,"problem solving, documentation, research, communication, security, design",Medium,Beginner
